,Type,Well-behavedness,Formula,Baseline,RantaI,RantaII,Hypothesis,CorrectAnswer
0,GGC,WB,∀ x ∀ y ∀ z ( Cube ( x ) ∨ Tet ( y ) ∨ ¬ Dodec ( z ) ),"For all x, for all y, for all z, x is a cube or y is a tetrahedron or it is not the case that z is a dodecahedron.","For all x, for all y, for all z, x is a cube, y is a tetrahedron or z is not a dodecahedron."," for all x, for all y, for all dodecahedrons z, x is a cube or y is a tetrahedron.",H,Y/N
1,GGC,WB,"∀ x ∃ y ( ( Cube ( x ) ∧ Small ( x ) ) → ( BackOf ( x , y ) ∧ Cube ( y ) ∧ Large ( y ) ) )","For all x, there is an element y such that if x is a cube and x is small, then x is in back of y and y is a cube and y is large.","For all x, there is an element y such that if x is a cube and x is small, then x is in back of y, y is a cube and y is large."," for all x, if x is small and x is a cube, then there is a cube y such that y is large and x is in back of y.",H,Y/N
2,GGC,WB,"∀ x ∀ z ∃ y ( ( BackOf ( x , y ) → Larger ( x , y ) ) ∧ ( BackOf ( z , x ) → Larger ( z , x ) ) )","For all x, for all z, there is an element y such that if x is in back of y, then x is larger than y and if z is in back of x, then z is larger than x.","For all x, for all z, there is an element y such that all these hold : \item if x is in back of y, then x is larger than y \item if z is in back of x, then z is larger than x."," for all x, for all z, there is an element y such that all these hold : \item if x is in back of y, then x is larger than y \item if z is in back of x, then z is larger than x.",H,Y/N
3,GGC,NWB,"∀ x ∀ y ( ¬ Large ( x ) → ∃ y FrontOf ( y , x ) )","For all x, for all y, if it is not the case that x is large, then there is an element y such that y is in front of x.","For all x, for all y, if x is not large, then there is an element y such that y is in front of x."," for all x, x is large or something is in front of x.",H,Y/N
4,GGC,WB,"∀ x ∀ y ( ( Tet ( y ) ∧ Cube ( x ) ) → LeftOf ( x , y ) )","For all x, for all y, if y is a tetrahedron and x is a cube, then x is to the left of y.","For all x, for all y, if y is a tetrahedron and x is a cube, then x is to the left of y."," for all x, for all tetrahedrons y, x is not a cube or x is to the left of y.",H,Y/N
5,GGC,WB,"∀ z ∀ v ( ( LeftOf ( z , a ) ∧ LeftOf ( v , b ) ) → ¬ Smaller ( z , v ) )","For all z, for all v, if z is to the left of a and v is to the left of b, then it is not the case that z is smaller than v.","For all z, for all v, if z is to the left of a and v is to the left of b, then z is not smaller than v."," for all z, for all v, if z is to the left of a and v is to the left of b, then z is not smaller than v.",H,Y/N
6,GGC,WB,"∀ x ∃ z ( ( Dodec ( x ) ∧ ¬ ∃ y LeftOf ( x , y ) ) → RightOf ( x , z ) )","For all x, there is an element z such that if x is a dodecahedron and it is not the case that there is an element y such that x is to the left of y, then x is to the right of z.","For all x, there is an element z such that if x is a dodecahedron and it is not the case that there is an element y such that x is to the left of y, then x is to the right of z."," for all x, x is to the left of something, x is not a dodecahedron or x is to the right of something.",H,Y/N
7,RG,WB,"∀ x ( Large ( a ) ∨ Tet ( x ) ) ∧ ∀ x ( FrontOf ( b , x ) → Student ( x ) )","For all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student.","For all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student."," for all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student.",H,Y/N
8,RG,WB,¬ ( Small ( a ) ∨ Tet ( b ) ) → ∀ x Cube ( x ),"If it is not the case that a is small or b is a tetrahedron, then for all x, x is a cube.","If it is not the case that a is small or b is a tetrahedron, then for all x, x is a cube."," b is a tetrahedron, a is small or everything is a cube.",H,Y/N
9,RG,WB,"∃ x ( ( Larger ( x , a ) ∧ Cube ( b ) ) ∨ LeftOf ( c , c ) )",There is an element x such that x is larger than a and b is a cube or c is to the left of c.,There is an element x such that at least one of these holds : \item x is larger than a and b is a cube \item c is to the left of itself., there is an element x such that at least one of these holds : \item x is larger than a and b is a cube \item c is to the left of itself.,H,Y/N
10,RG,NWB,"∀ x ( ∃ x Even ( a ) → ∀ y BackOf ( x , x ) )","For all x, if there is an element x such that a is even, then for all y, x is in back of x.","For all x, if there is an element x such that a is even, then for all y, x is in back of itself."," if a is even, then everything is in back of itself.",H,Y/N
11,RG,WB,"∃ x ( ¬ RightOf ( a , x ) → ( Prime ( b ) ∧ Pet ( x ) ) )","There is an element x such that if it is not the case that a is to the right of x, then b is a prime and x is a pet.","There is an element x such that if a is not to the right of x, then b is a prime and x is a pet.", there is a pet x such that b is a prime or a is to the right of something.,H,Y/N
12,RG,NWB,"( ¬ Adjoins ( a , b ) ∧ ¬ Small ( a ) ) ∧ ∃ x ∀ y Medium ( y )","It is not the case that a is adjacent to b and it is not the case that a is small and there is an element x such that for all y, y is medium.","A is not adjacent to b, a is not small and there is an element x such that for all y, y is medium."," a is not adjacent to b, a is not small and everything is medium.",H,Y/N
13,RG,NWB,( ∀ x Medium ( a ) ∧ ¬ Tet ( a ) ) ∨ ( ∃ x Student ( x ) → ∃ y Dodec ( b ) ),"For all x, a is medium and it is not the case that a is a tetrahedron or if there is an element x such that x is a student, then there is an element y such that b is a dodecahedron.","At least one of these holds : \item for all x, a is medium and a is not a tetrahedron \item if there is an element x such that x is a student, then there is an element y such that b is a dodecahedron."," at least one of these holds : \item a is medium and a is not a tetrahedron, nothing is a student \item b is a dodecahedron.",H,Y/N
